function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_tume,cum_time_per_call
features.py:54(normalized_eigenvalues),10000,20,eigenvalues,20000,0.083172,4.1585999999999995e-06,0.163517,8.175849999999999e-06
features.py:72(triangle_variance_space),10000,20,eigenvalues,10000,0.049962,4.9962e-06,0.136811,1.3681099999999998e-05
features.py:115(compute_3D_features),10000,20,eigenvalues,10000,0.10424699999999999,1.0424699999999999e-05,0.319397,3.19397e-05
features.py:6(<module>),10000,20,eigenvalues,1,6e-06,6e-06,0.292418,0.292418
extract.py:124(eigen_features),10000,20,eigenvalues,10001,0.287871,2.8784221577842216e-05,5.249699,0.000524917408259174
extract.py:14(<module>),10000,20,eigenvalues,1,2.3e-05,2.3e-05,0.8257859999999999,0.8257859999999999
extract.py:33(build_neighborhood),10000,20,eigenvalues,10000,0.032653,3.2653000000000003e-06,1.4480659999999999,0.0001448066
__init__.py:4(<module>),10000,20,eigenvalues,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),10000,20,eigenvalues,1,0.001388,0.001388,24.490626,24.490626
io.py:82(write_features),10000,20,eigenvalues,1,0.028983,0.028983,5.685728,5.685728
io.py:5(<module>),10000,20,eigenvalues,1,1.1e-05,1.1e-05,0.020194999999999998,0.020194999999999998
features.py:12(accumulation_2d_neighborhood),10000,20,full,1,0.000128,0.000128,0.046279999999999995,0.046279999999999995
features.py:54(normalized_eigenvalues),10000,20,full,20000,0.12027199999999999,6.0135999999999995e-06,0.230567,1.152835e-05
features.py:72(triangle_variance_space),10000,20,full,10000,0.070144,7.0144e-06,0.176543,1.76543e-05
features.py:115(compute_3D_features),10000,20,full,10000,0.13394499999999998,1.3394499999999999e-05,0.41238199999999997,4.1238199999999994e-05
features.py:148(compute_2D_features),10000,20,full,10000,0.051032,5.1032e-06,0.084519,8.4519e-06
features.py:168(compute_3D_properties),10000,20,full,10000,0.08638699999999999,8.638699999999999e-06,0.937643,9.37643e-05
features.py:211(<listcomp>),10000,20,full,10000,0.514037,5.14037e-05,0.545655,5.45655e-05
features.py:195(compute_2D_properties),10000,20,full,10000,0.07027599999999999,7.0275999999999994e-06,0.632351,6.32351e-05
features.py:218(verticality_coefficient),10000,20,full,10000,0.030230999999999997,3.0231e-06,0.034675,3.4675e-06
features.py:6(<module>),10000,20,full,1,9.999999999999999e-06,9.999999999999999e-06,0.29206499999999996,0.29206499999999996
extract.py:56(retrieve_accumulation_features),10000,20,full,10000,0.2555,2.555e-05,55.683493,0.0055683493
extract.py:183(all_features),10000,20,full,10001,0.710853,7.107819218078192e-05,68.60736399999999,0.006860050394960503
extract.py:14(<module>),10000,20,full,1,2.4e-05,2.4e-05,0.746138,0.746138
extract.py:33(build_neighborhood),10000,20,full,10000,0.060563,6.0563e-06,2.311873,0.0002311873
__init__.py:4(<module>),10000,20,full,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),10000,20,full,1,0.001792,0.001792,24.649238999999998,24.649238999999998
io.py:82(write_features),10000,20,full,1,0.058612,0.058612,69.536345,69.536345
io.py:5(<module>),10000,20,full,1,7e-06,7e-06,0.013002999999999999,0.013002999999999999
features.py:54(normalized_eigenvalues),50000,20,eigenvalues,100000,0.385969,3.85969e-06,0.759242,7.59242e-06
features.py:72(triangle_variance_space),50000,20,eigenvalues,50000,0.23352299999999998,4.670459999999999e-06,0.6323909999999999,1.2647819999999999e-05
features.py:115(compute_3D_features),50000,20,eigenvalues,50000,0.484114,9.682279999999999e-06,1.466959,2.9339179999999997e-05
features.py:6(<module>),50000,20,eigenvalues,1,8e-06,8e-06,0.28848999999999997,0.28848999999999997
extract.py:124(eigen_features),50000,20,eigenvalues,50001,1.3378059999999998,2.675558488830223e-05,25.403789,0.0005080656186876262
extract.py:14(<module>),50000,20,eigenvalues,1,2.8e-05,2.8e-05,0.716757,0.716757
extract.py:33(build_neighborhood),50000,20,eigenvalues,50000,0.144281,2.8856199999999997e-06,7.747293,0.00015494586
__init__.py:4(<module>),50000,20,eigenvalues,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,20,eigenvalues,1,0.00137,0.00137,25.188285999999998,25.188285999999998
io.py:82(write_features),50000,20,eigenvalues,1,0.12981199999999998,0.12981199999999998,27.403409,27.403409
io.py:5(<module>),50000,20,eigenvalues,1,1.1e-05,1.1e-05,0.013193,0.013193
features.py:54(normalized_eigenvalues),1000,100,eigenvalues,2000,0.008841,4.4205e-06,0.017404,8.701999999999999e-06
features.py:72(triangle_variance_space),1000,100,eigenvalues,1000,0.00516,5.16e-06,0.014227,1.4227e-05
features.py:115(compute_3D_features),1000,100,eigenvalues,1000,0.011146999999999999,1.1146999999999998e-05,0.033694,3.3694e-05
features.py:6(<module>),1000,100,eigenvalues,1,9e-06,9e-06,0.286914,0.286914
extract.py:124(eigen_features),1000,100,eigenvalues,1001,0.034249999999999996,3.421578421578421e-05,0.571058,0.0005704875124875124
extract.py:14(<module>),1000,100,eigenvalues,1,2.4999999999999998e-05,2.4999999999999998e-05,0.8504079999999999,0.8504079999999999
extract.py:33(build_neighborhood),1000,100,eigenvalues,1000,0.0034419999999999997,3.442e-06,0.155381,0.00015538099999999998
__init__.py:4(<module>),1000,100,eigenvalues,1,0.0,0.0,0.0,0.0
